pk,name,address,zip_code,lat,lng,method,gurs_address,gurs_lat,gurs_lng,distance_m,error
2040,PETROL LJUBLJANA - TRŽAŠKA 44,TRŽAŠKA CESTA 44,1000,46.04443147,14.48517761,address,"Tržaška cesta 44, 1000 Ljubljana",46.04444,14.48518,1,
2041,PETROL LJUBLJANA - TRŽAŠKA 131A,TRŽAŠKA CESTA 131A,1000,46.03869769,14.47088774,address,"Tržaška cesta 131a, 1000 Ljubljana",46.03863,14.47096,9,
2042,PETROL LJUBLJANA - ZALOŠKA,ZALOŠKA CESTA 60A,1000,46.05587096,14.53893203,address,"Zaloška cesta 60a, 1000 Ljubljana",46.05581,14.53885,9,
2043,PETROL LJUBLJANA - RUDNIK VZHOD,DOLENJSKA CESTA 157A,1000,46.01990066,14.54272853,address,"Dolenjska cesta 157a, 1000 Ljubljana",46.01991,14.54272,1,
2044,PETROL LJUBLJANA - DUNAJSKA 133,DUNAJSKA CESTA 133,1000,46.07883295,14.51209267,address,"Dunajska cesta 133, 1000 Ljubljana",46.07886,14.51202,6,
2045,PETROL LJUBLJANA - ŠMARTINSKA 101,ŠMARTINSKA CESTA 101,1000,46.066152,14.531219,address,"Šmartinska cesta 101, 1000 Ljubljana",46.06611,14.53104,15,
2046,PETROL LJUBLJANA - TRŽAŠKA 130,TRŽAŠKA CESTA 130,1000,46.03844761,14.46933955,address,"Tržaška cesta 130, 1000 Ljubljana",46.03864,14.46949,24,
2047,PETROL LJUBLJANA - CELOVŠKA 251,CELOVŠKA CESTA 251,1000,46.08132492,14.47901865,address,"Celovška cesta 251, 1000 Ljubljana",46.08134,14.47901,2,
2048,PETROL LJUBLJANA - TIVOLSKA,TIVOLSKA CESTA 43,1000,46.0580724,14.50344546,address,"Tivolska cesta 43, 1000 Ljubljana",46.05808,14.50344,1,
2049,PETROL LJUBLJANA - ŠMARTINSKA 150,ŠMARTINSKA CESTA 150,1000,46.06921194,14.54248084,address,"Šmartinska cesta 150, 1000 Ljubljana",46.06920,14.54246,2,
2050,PETROL LJUBLJANA - CELOVŠKA 148,CELOVŠKA CESTA 148,1000,46.07303365,14.48691567,address,"Celovška cesta 148, 1000 Ljubljana",46.07313,14.48684,12,
2051,PETROL LJUBLJANA - POLJE,ZALOŠKA CESTA 166,1260,46.053796,14.587178,address,"Zaloška cesta 166, 1260 Ljubljana - Polje",46.05377,14.58732,11,
2052,PETROL LJUBLJANA - TRNOVO,RIHARJEVA ULICA 31,1000,46.03925962,14.50003317,address,"Riharjeva ulica 31, 1000 Ljubljana",46.03927,14.50003,1,
2053,PETROL DOBROVA,POLHOGRAJSKA CESTA 12,1356,46.0520304,14.42151956,address,"Polhograjska cesta 12, 1356 Dobrova",46.05211,14.42156,9,
2054,PETROL PODPEČ,JEZERO 103,1352,45.973133,14.422124,address,"Jezero 103, 1352 Preserje",45.97324,14.42219,13,
2055,"PETROL LJUBLJANA - ČRNUČE, DUNAJSKA",DUNAJSKA CESTA 460,1231,46.10458934,14.54127278,address,"Dunajska cesta 460, 1231 Ljubljana - Črnuče",46.10452,14.54127,8,
2056,PETROL LJUBLJANA - DUNAJSKA 70,DUNAJSKA CESTA 70,1000,46.06882986,14.51074492,address,"Dunajska cesta 70, 1000 Ljubljana",46.06887,14.51092,14,
2057,PETROL LJUBLJANA - RUDNIK ZAHOD,DOLENJSKA CESTA 242F,1000,46.01990756,14.54219888,address,"Dolenjska cesta 242f, 1000 Ljubljana",46.01992,14.54219,2,
2058,PETROL ZADVOR,CESTA II. GRUPE ODREDOV 48,1261,46.03588324,14.59614121,address,"Cesta II. grupe odredov 48, 1261 Ljubljana - Dobrunje",46.03589,14.59613,1,
2059,PETROL LJUBLJANA AC - BARJE SEVER,CESTA DVEH CESARJEV 71,1000,46.029136,14.481739,address,"Cesta dveh cesarjev 71, 1000 Ljubljana",46.02904,14.48197,21,
2060,PETROL LJUBLJANA AC - BARJE JUG,CESTA DVEH CESARJEV 73,1000,46.028806,14.478422,address,"Cesta dveh cesarjev 73, 1000 Ljubljana",46.02898,14.47836,20,
