ts,station_pk,franchise_pk
2020-10-01T13:18:30Z,2242,3
2020-10-01T13:18:30Z,2243,3
2020-10-01T13:18:30Z,2244,3
2020-10-01T13:18:30Z,2245,3
2020-10-01T13:18:30Z,2246,3
2020-10-01T13:18:30Z,2247,3
2020-10-01T13:18:30Z,2248,3
2020-10-01T13:18:30Z,2249,3
2020-10-01T13:18:30Z,2250,3
2020-10-01T13:18:30Z,2251,3
2020-10-01T13:18:30Z,2252,3
2020-10-01T13:18:30Z,2253,3
2020-10-01T13:18:30Z,2254,3
2020-10-01T13:18:30Z,2255,3
2020-10-01T13:18:30Z,2256,3
2020-10-01T13:18:30Z,2257,3
2020-10-01T13:18:30Z,2258,5
2020-10-01T13:18:30Z,2259,5
2020-10-01T13:18:30Z,2260,5
2020-10-01T13:18:30Z,2261,5
2020-10-01T13:18:30Z,2262,5
2020-10-01T13:18:30Z,2263,5
2020-10-01T13:18:30Z,2264,5
2020-10-01T13:18:30Z,2265,5
2020-10-01T13:18:30Z,2266,5
2020-10-01T13:18:30Z,2267,6
2020-10-01T13:18:30Z,2268,9
2020-10-01T13:18:30Z,2269,10
2020-10-01T13:18:30Z,2270,10
2020-10-01T13:18:30Z,2271,2
2020-10-01T13:18:30Z,2272,1
2020-10-01T13:18:30Z,2273,11
2020-10-01T13:18:30Z,2274,11
2020-10-01T13:18:30Z,2275,11
2020-10-01T13:18:30Z,2276,11
2020-10-01T13:18:30Z,2283,4
2020-10-01T13:18:30Z,2284,4
2020-10-01T13:18:30Z,2285,4
2020-10-01T13:18:30Z,2286,4
2020-10-01T13:18:30Z,2287,4
2020-10-01T13:18:30Z,2288,13
2020-10-01T13:18:30Z,2289,13
2020-10-01T13:18:30Z,2290,13
2020-10-01T13:18:30Z,2291,13
2020-10-01T13:18:30Z,2292,13
2020-10-01T13:18:30Z,2293,13
2020-10-01T13:18:30Z,2294,13
2020-10-01T13:18:30Z,2295,13
2020-10-01T13:18:30Z,2296,15
2020-10-01T13:18:30Z,2297,16
2020-10-01T13:18:30Z,2299,16
2020-10-01T13:18:30Z,2302,7
2020-10-01T13:18:30Z,2303,7
2020-10-01T13:18:30Z,2304,7
2020-10-01T13:18:30Z,2305,7
2020-10-01T13:18:30Z,2306,7
2020-10-01T13:18:30Z,2307,7
2020-10-01T13:18:30Z,2308,7
2020-10-01T13:18:30Z,2309,7
2020-10-01T13:18:30Z,2310,7
2020-10-02T06:29:55Z,2311,18
2020-10-02T09:26:38Z,2312,17
2020-10-06T08:29:38Z,2313,14
2020-10-07T14:28:02Z,2302,19
2020-10-07T14:28:02Z,2303,19
2020-10-07T14:28:02Z,2304,19
2020-10-07T14:28:02Z,2305,19
2020-10-07T14:28:02Z,2306,19
2020-10-07T14:28:02Z,2307,19
2020-10-15T10:29:19Z,2314,22
2020-10-15T10:29:19Z,2315,21
2020-10-21T06:34:22Z,2316,23
2020-10-21T06:34:22Z,2317,23
2020-10-22T06:34:35Z,2318,24
2020-10-29T19:19:24Z,2319,26
2020-11-04T07:22:45Z,2320,25
2020-12-02T09:29:41Z,2321,29
2020-12-29T15:43:30Z,2322,27
2021-03-01T08:38:29Z,2313,17
2021-05-10T12:51:30Z,2323,2
2021-05-18T08:13:12Z,2291,2
2021-05-18T10:10:31Z,2291,13
2021-09-02T08:37:53Z,2324,19
2022-03-22T11:27:19Z,2325,12
2022-04-05T06:39:18Z,2326,30
2022-12-07T10:31:39Z,2327,15
2023-01-17T14:27:26Z,2328,19
2023-03-28T13:31:56Z,2329,31
2023-06-07T22:27:11Z,2332,4
2023-08-01T06:30:49Z,2308,19
2023-08-01T06:30:49Z,2309,19
2023-08-01T06:30:49Z,2310,19
2023-10-23T22:27:34Z,2334,5
2023-10-23T22:27:34Z,2335,5
2023-11-06T23:23:39Z,2336,5
2023-11-13T14:28:12Z,2337,5
2023-11-14T08:28:31Z,2338,5
2023-12-01T10:31:00Z,2339,5
2023-12-04T23:24:52Z,2340,5
2023-12-06T11:22:54Z,2341,5
2023-12-11T11:23:26Z,2343,5
2023-12-11T12:45:03Z,2346,5
2023-12-12T12:44:09Z,2344,5
2023-12-12T12:44:09Z,2345,5
2023-12-14T15:26:05Z,2342,5
2023-12-18T16:32:46Z,2348,5
2023-12-19T11:22:45Z,811,4
2024-01-03T23:25:52Z,2347,5
2024-01-12T09:25:03Z,805,5
2024-01-15T10:32:00Z,2313,14
2024-01-16T09:24:46Z,842,4
2024-01-22T06:32:01Z,2350,5
2024-01-23T15:26:26Z,808,4
2024-01-23T15:26:26Z,831,5
2024-01-24T10:31:38Z,768,5
2024-01-29T11:22:35Z,2349,5
2024-01-29T23:25:17Z,2351,5
2024-01-31T09:22:59Z,833,4
2024-02-07T10:28:46Z,2330,31
2024-02-07T10:28:46Z,2331,11
2024-02-07T10:28:46Z,2333,32
2024-02-12T13:25:54Z,2352,5
2024-02-14T10:29:08Z,2353,5
2024-02-14T10:29:08Z,2354,5
2024-02-21T14:26:29Z,773,4
2024-02-21T14:26:29Z,815,4
2024-02-21T14:26:29Z,853,4
2024-02-21T14:26:29Z,2355,5
2024-02-26T15:24:42Z,2356,5
2024-03-01T10:28:57Z,2362,5
2024-03-01T10:28:57Z,2363,5
2024-03-05T11:22:38Z,2358,5
2024-03-07T13:23:35Z,777,4
2024-03-07T13:23:35Z,816,4
2024-03-07T13:23:35Z,821,4
2024-03-07T13:23:35Z,855,4
2024-03-07T13:23:35Z,857,4
2024-03-07T13:23:35Z,863,4
2024-03-07T13:23:35Z,2236,4
2024-03-07T13:23:35Z,2271,4
2024-03-07T13:23:35Z,2357,5
2024-03-08T11:23:17Z,2359,5
2024-03-08T11:23:17Z,2360,5
2024-03-14T11:22:56Z,2361,5
2024-03-22T07:22:34Z,781,4
2024-03-22T07:22:34Z,782,4
2024-03-22T07:22:34Z,793,4
2024-03-22T07:22:34Z,804,4
2024-03-22T07:22:34Z,807,4
2024-03-22T07:22:34Z,823,4
2024-03-22T07:22:34Z,836,4
2024-03-22T07:22:34Z,864,4
2024-03-27T09:24:41Z,2364,5
2024-03-27T09:24:41Z,2365,5
2024-03-27T09:24:41Z,2366,5
2024-03-27T09:24:41Z,2367,5
2024-03-27T15:24:50Z,797,4
2024-03-27T15:24:50Z,828,4
2024-03-27T15:24:50Z,841,4
2024-03-27T15:24:50Z,856,4
2024-04-22T14:28:00Z,2368,5
2024-04-22T14:28:00Z,2369,5
2024-04-22T22:29:39Z,2370,5
2024-04-22T22:29:39Z,2371,5
2024-04-22T22:29:39Z,2372,5
2024-04-23T09:24:04Z,776,4
2024-04-23T09:24:04Z,800,4
2024-04-23T09:24:04Z,806,4
2024-04-23T09:24:04Z,812,4
2024-04-23T09:24:04Z,832,4
2024-04-23T09:24:04Z,851,4
2024-04-23T09:24:04Z,854,4
2024-04-23T09:24:04Z,862,4
2024-04-23T09:24:04Z,867,4
2024-04-23T09:24:04Z,870,4
2024-04-23T09:24:04Z,873,4
2024-04-23T09:24:04Z,874,4
2024-04-25T09:24:37Z,794,4
2024-04-25T09:24:37Z,809,4
2024-04-25T09:24:37Z,871,4
2024-05-09T10:30:37Z,779,4
2024-05-09T10:30:37Z,835,4
2024-05-09T10:30:37Z,846,4
2024-05-09T10:30:37Z,852,4
2024-05-17T08:29:11Z,790,4
2024-05-17T08:29:11Z,791,4
2024-05-17T08:29:11Z,796,4
2024-05-17T08:29:11Z,844,4
2024-05-17T11:22:35Z,2374,4
2024-05-22T09:27:44Z,2373,4
2024-05-23T11:23:06Z,837,4
2024-05-23T11:23:06Z,845,4
2024-05-23T11:23:06Z,847,4
2024-05-23T11:23:06Z,848,4
2024-05-30T12:44:27Z,780,4
2024-05-30T12:44:27Z,817,4
2024-05-30T12:44:27Z,824,4
2024-05-30T12:44:27Z,861,4
2024-06-07T10:30:58Z,769,4
2024-06-07T10:30:58Z,813,4
2024-06-07T10:30:58Z,826,4
2024-06-07T10:30:58Z,858,4
2024-06-13T09:27:31Z,778,4
2024-06-13T09:27:31Z,814,4
2024-06-13T09:27:31Z,849,4
2024-06-13T09:27:31Z,865,4
2024-06-18T08:31:13Z,775,4
2024-06-18T08:31:13Z,798,4
2024-06-18T08:31:13Z,818,4
2024-06-18T08:31:13Z,838,4
2024-06-18T08:31:13Z,839,4
2024-06-18T08:31:13Z,840,4
2024-07-05T09:28:17Z,771,4
2024-07-05T09:28:17Z,774,4
2024-07-05T09:28:17Z,789,4
2024-07-05T09:28:17Z,859,4
2024-07-10T09:26:54Z,802,4
2024-07-10T09:26:54Z,820,4
2024-07-10T09:26:54Z,866,4
2024-07-10T09:26:54Z,875,4
2024-07-18T08:30:57Z,810,4
2024-07-18T08:30:57Z,819,4
2024-07-18T08:30:57Z,872,4
2024-07-18T08:30:57Z,2323,4
2024-07-25T08:32:00Z,783,4
2024-07-25T08:32:00Z,834,4
2024-07-25T08:32:00Z,869,4
2024-09-27T10:34:39Z,2306,33
